method,run,generation,best
GP_plain,0,0,0.7281325771163059
GP_plain,0,1,0.5305972611971347
GP_plain,0,2,0.5305972611971347
GP_plain,0,3,0.5305972611971347
GP_plain,0,4,0.5305972611971347
GP_plain,0,5,0.5305972611971347
GP_plain,0,6,0.5305972611971347
GP_plain,0,7,0.5305972611971347
GP_plain,0,8,0.5305972611971347
GP_plain,0,9,0.5305972611971347
GP_plain,0,10,0.5305972611971347
GP_plain,0,11,0.5305972611971347
GP_plain,0,12,0.5305972611971347
GP_plain,0,13,0.5305972611971347
GP_plain,0,14,0.5305972611971347
GP_plain,0,15,0.4510593489666331
GP_plain,0,16,0.4510593489666331
GP_plain,0,17,0.4510593489666331
GP_plain,0,18,0.4510593489666331
GP_plain,0,19,0.4510593489666331
GP_plain,0,20,0.4510593489666331
GP_plain,0,21,0.418106005269046
GP_plain,0,22,0.418106005269046
GP_plain,0,23,0.3965195448512328
GP_plain,0,24,0.3965195448512328
GP_plain,0,25,0.3965195448512328
GP_plain,0,26,0.3948979423729396
GP_plain,0,27,0.3948979423729396
GP_plain,0,28,0.38005314416963937
GP_plain,0,29,0.38005314416963937
GP_plain,0,30,0.38005314416963937
GP_plain,0,31,0.38005314416963937
GP_plain,0,32,0.38005314416963937
GP_plain,0,33,0.38005314416963937
GP_plain,0,34,0.38005314416963937
GP_plain,0,35,0.3800177948433228
GP_plain,0,36,0.3800177948433228
GP_plain,0,37,0.3800177948433228
GP_plain,0,38,0.3800177948433228
GP_plain,0,39,0.3800177948433228
GP_plain,0,40,0.3800177948433228
GP_plain,0,41,0.3800177948433228
GP_plain,0,42,0.3800177948433228
GP_plain,0,43,0.3800177948433228
GP_plain,0,44,0.3800177948433228
GP_plain,0,45,0.3800177948433228
GP_plain,0,46,0.3800177948433228
GP_plain,0,47,0.3800177948433228
GP_plain,0,48,0.3800177948433228
GP_plain,0,49,0.3800177948433228
GP_plain,0,50,0.3800177948433228
GP_plain,0,51,0.3800177948433228
GP_plain,0,52,0.3800177948433228
GP_plain,0,53,0.3800177948433228
GP_plain,0,54,0.3800177948433228
GP_plain,0,55,0.3800177948433228
GP_plain,0,56,0.3800177948433228
GP_plain,0,57,0.3800177948433228
GP_plain,0,58,0.3800177948433228
GP_plain,0,59,0.3800177948433228
GP_plain,0,60,0.3800177948433228
GP_plain,0,61,0.3635766992473794
GP_plain,0,62,0.3635766992473794
GP_plain,0,63,0.3635766992473794
GP_plain,1,0,0.6590120073538003
GP_plain,1,1,0.583778313003028
GP_plain,1,2,0.583778313003028
GP_plain,1,3,0.5250351827132341
GP_plain,1,4,0.5250351827132341
GP_plain,1,5,0.5250351827132341
GP_plain,1,6,0.5250351827132341
GP_plain,1,7,0.5250351827132341
GP_plain,1,8,0.33758820408711576
GP_plain,1,9,0.33758820408711576
GP_plain,1,10,0.33758820408711576
GP_plain,1,11,0.33758820408711576
GP_plain,1,12,0.33164775293203813
GP_plain,1,13,0.33164775293203813
GP_plain,1,14,0.33164775293203813
GP_plain,1,15,0.33164775293203813
GP_plain,1,16,0.33164775293203813
GP_plain,1,17,0.33164775293203813
GP_plain,1,18,0.33164775293203813
GP_plain,1,19,0.33164775293203813
GP_plain,1,20,0.33164775293203813
GP_plain,1,21,0.33164775293203813
GP_plain,1,22,0.33164775293203813
GP_plain,1,23,0.33164775293203813
GP_plain,1,24,0.33164775293203813
GP_plain,1,25,0.33164775293203813
GP_plain,1,26,0.33164775293203813
GP_plain,1,27,0.33164775293203813
GP_plain,1,28,0.33164775293203813
GP_plain,1,29,0.33164775293203813
GP_plain,1,30,0.33164775293203813
GP_plain,1,31,0.33164775293203813
GP_plain,1,32,0.33164775293203813
GP_plain,1,33,0.33164775293203813
GP_plain,1,34,0.33164775293203813
GP_plain,1,35,0.33164775293203813
GP_plain,1,36,0.33164775293203813
GP_plain,1,37,0.33164775293203813
GP_plain,1,38,0.33164775293203813
GP_plain,1,39,0.33164775293203813
GP_plain,1,40,0.33164775293203813
GP_plain,1,41,0.33164775293203813
GP_plain,1,42,0.33164775293203813
GP_plain,1,43,0.33164775293203813
GP_plain,1,44,0.33164775293203813
GP_plain,1,45,0.33164775293203813
GP_plain,1,46,0.33164775293203813
GP_plain,1,47,0.33164775293203813
GP_plain,1,48,0.33164775293203813
GP_plain,1,49,0.33164775293203813
GP_plain,1,50,0.33164775293203813
GP_plain,1,51,0.33164775293203813
GP_plain,1,52,0.33164775293203813
GP_plain,1,53,0.33164775293203813
GP_plain,1,54,0.33164775293203813
GP_plain,1,55,0.33164775293203813
GP_plain,1,56,0.33164775293203813
GP_plain,1,57,0.33164775293203813
GP_plain,1,58,0.33164775293203813
GP_plain,1,59,0.21769642670428865
GP_plain,1,60,0.21769642670428865
GP_plain,1,61,0.012778982247537714
GP_plain,1,62,0.012778982247537714
