method,seed,train_mse,validation_mse,test_mse,nodes,depth,evaluations,validation_evaluations,seconds,expression
GP_plain,261400,0.3635766992473794,0.3779410806790961,0.34392528654602655,14,7,4096,64,0.18062741900007495,"((x - pdiv(0.147, pdiv(pdiv(pdiv(x, x), sin(x)), x))) * x)"
GP_plain,261401,0.012778982247537714,0.011525980719864552,0.014357437982116857,13,5,4096,64,0.14133949000006396,"(sin(pdiv(x, sin(0.356))) + (x + ((x * x) - x)))"
GP_plain,261402,0.05367326319241994,0.057793646439991325,0.07360339065784009,32,7,4096,64,0.34829284299996743,"(((((x + -1.838) + 1.522) - x) * sin(x)) + ((x * ((x + -1.838) + 1.522)) - pdiv(sin((x + x)), ((-1.335 - (x * x)) + sin(1.778)))))"
GP_plain,261403,0.14312642913924614,0.13331986451132405,0.15217419112312175,16,7,4096,64,0.21137258900000688,"((x * x) - ((x - sin(sin(sin(x)))) - sin(sin(pdiv(0.388, x)))))"
GP_plain,261404,0.5206111044669735,0.5488707998770864,0.45484401319180673,31,7,4096,64,0.2734977899999649,"pdiv(pdiv(1.014, pdiv(pdiv(x, x), pdiv(1.014, pdiv(pdiv(x, x), x)))), pdiv(pdiv(x, pdiv(1.014, pdiv(pdiv(x, x), x))), pdiv(1.014, pdiv(pdiv(x, x), x))))"
GP_plain,261405,0.3364824258223197,0.35818232119312976,0.35849382688744147,23,7,4096,64,0.12622530200007986,"(((x - ((pdiv(x, 1.303) + pdiv(x, -1.429)) * x)) - ((pdiv(x, 1.303) + pdiv(x, -1.429)) * x)) * x)"
GP_plain,261406,0.3259323551211318,0.34939243516435614,0.3483492469520204,13,7,4096,64,0.1717978439999115,(((-0.151 * ((x + sin(x)) * sin(x))) + x) * x)
GP_plain,261407,0.4186401387001129,0.44632141145362764,0.4134718035805059,13,6,4096,64,0.15075594600000386,"((x + -0.238) * pdiv((-1.128 * pdiv((-1.128 * x), -1.116)), -1.116))"
GP_plain,261408,0.2994965426815637,0.3257223831614986,0.4263131950845033,16,7,4096,64,0.21191877000001114,"pdiv((sin(sin((sin(x) + (x - -1.911)))) + x), pdiv(pdiv(x, x), x))"
GP_plain,261409,0.3650532377820946,0.37871361055025365,0.34361070689928297,10,5,4096,64,0.10288239400006205,((x - (sin(0.09) * (x * x))) * x)
GP_plain,261410,0.4177988401696942,0.44292745103230585,0.4147369242598413,11,4,4096,64,0.16787104000002273,(((x + -0.427) + 0.268) * ((x + -0.427) + 0.318))
GP_plain,261411,0.007532887790137893,0.0063252829027841805,0.007897991413629204,15,7,4096,64,0.19986739000000853,"((x * x) - sin(((x * (sin(0.69) + pdiv(1.106, -0.434))) - x)))"
GP_plain,261412,0.41880270943129705,0.44241863309767915,0.4194839533131638,7,4,4096,64,0.11809207299995705,(((x - -0.277) + -0.547) * x)
GP_plain,261413,0.07130423478051164,0.07058030995001215,0.0775193952341622,21,7,4096,64,0.26387960900001417,"((x * x) + sin(pdiv((pdiv(x, x) + pdiv(x, x)), (sin(pdiv(-0.203, x)) - pdiv(-0.96, x)))))"
GP_plain,261414,0.03262817735931662,0.036558846104503974,0.045172690760698235,16,6,4096,64,0.31101401000000806,"((x * x) - (sin(pdiv((x + x), (1.672 * -0.372))) * pdiv(x, x)))"
GP_plain,261415,0.19849691908643124,0.20580472539079073,0.17595893617243843,22,7,4096,64,0.24870968000004723,"((((((x + -0.103) + -0.06) + pdiv((-0.103 * x), x)) + -0.103) * x) - sin(((x - 1.749) * x)))"
GP_plain,261416,0.4187002683843313,0.4425602675165678,0.4202293318768354,7,4,4096,64,0.12965679199999158,(x * ((0.532 + x) - 0.805))
GP_plain,261417,0.42501029763538317,0.4464237392829578,0.4089459324119603,17,6,4096,64,0.22475882700007332,"(((x + -0.206) * pdiv(x, x)) * pdiv(-0.885, pdiv(-0.881, pdiv(-0.885, pdiv(-0.881, x)))))"
GP_plain,261418,0.428538615478098,0.4463610199218374,0.40923679000231306,13,5,4096,64,0.24565390400005072,"pdiv(x, pdiv((pdiv(0.875, x) * x), ((x + -0.199) * 0.875)))"
GP_plain,261419,0.42208508100925,0.45583826721221793,0.4136283149463875,9,4,4096,64,0.1541574819999596,(((-0.35 * 0.634) + (x * 1.046)) * x)
GP_plain,261420,0.41964797605242077,0.44667563553703604,0.4322242573720825,5,3,4096,64,0.11330393299999741,((x - 0.312) * x)
GP_plain,261421,0.03532762056773331,0.0377967773966277,0.047652843239944745,23,6,4096,64,0.22361843299995598,"((sin(pdiv(x, (1.612 + -1.931))) * -0.563) + ((sin(pdiv(x, -0.563)) * -0.563) + (x * (x + (1.612 + -1.931)))))"
GP_plain,261422,0.233806025355201,0.22347963929874964,0.3138013282707035,19,6,4096,64,0.31007571899999675,"(((x + sin((x + 1.644))) + sin(pdiv((0.394 - x), (0.325 + x)))) * (0.325 + x))"
GP_plain,261423,0.4190472982422415,0.44261172831756057,0.41125935073749414,15,4,4096,64,0.18330326500006322,(((x + x) - (x + 0.125)) * ((x + x) - (x + 0.125)))
GP_plain,261424,0.2747818793640146,0.2911355101091082,0.33329387699916185,12,5,4096,64,0.1808502960000169,(((x + -0.168) + sin((1.585 + x))) * (x + -0.168))
GP_plain,261425,0.40236036382775253,0.43693204626557747,0.39652269211794866,17,7,4096,64,0.18853082399994037,"((x * x) + pdiv(x, (-1.964 + ((x - x) - pdiv(x, (x - 0.383))))))"
GP_plain,261426,0.11720311654592737,0.132296738761953,0.1459246768648503,15,7,4096,64,0.19842556899993724,"((x * x) - (x - sin(pdiv(sin(pdiv(x, 0.856)), sin(sin(0.467))))))"
GP_plain,261427,0.2675487327502342,0.28495642223190176,0.34192755993144003,16,7,4096,64,0.2044709320000493,((x * -0.533) - ((-1.012 * x) * ((x - sin((-1.631 - x))) - -0.128)))
GP_plain,261428,0.3353811716389798,0.3565192845129151,0.3587120740915,22,7,4096,64,0.12783541900000728,"((x - pdiv(pdiv((sin(0.661) * (x * x)), 1.952), (1.952 + pdiv(pdiv(x, x), (x * x))))) * x)"
GP_plain,261429,0.4174678566641237,0.4439498645163121,0.41858378168116583,13,6,4096,64,0.21687974500002838,"((x * x) + pdiv(pdiv((-1.834 - (x + -1.9)), 1.877), 1.877))"
GP_parsimony,261400,0.4842075530051514,0.5264462064532459,0.5509928521021344,7,4,4096,64,0.19126009199999316,(x * (x + (-1.937 + 1.436)))
GP_parsimony,261401,0.42145042588037396,0.44246153337886884,0.41311365573609266,14,7,4096,64,0.16141140900003847,(x * ((x - ((1.859 - 1.465) + sin(sin(1.465)))) + sin(1.465)))
GP_parsimony,261402,0.4185534110347048,0.4435516559138906,0.4240426803094209,5,3,4096,64,0.13264963000005991,(x * (-0.287 + x))
GP_parsimony,261403,0.00290577570680532,0.0022582197802018898,0.0023305395802719234,21,7,4096,64,0.3026774429999932,(((x * x) - (sin(((x + x) + x)) * -0.553)) - (sin(((x + x) + x)) * -0.444))
GP_parsimony,261404,0.0029203076058516384,0.0022311230622714443,0.002308523627595414,10,5,4096,64,0.21213933000001362,((x * x) + sin(((x + x) + x)))
GP_parsimony,261405,0.4189520609996251,0.445087278294954,0.42840765367098427,5,3,4096,64,0.1955689290000464,((x + -0.301) * x)
GP_parsimony,261406,0.33529086623466203,0.360247176915507,0.3760252294407386,9,5,4096,64,0.15316913700007717,(x * (((x * x) * -0.152) + x))
GP_parsimony,261407,0.4188617125976234,0.44483458322110364,0.4277503130930685,7,4,4096,64,0.12007029999995211,(x * ((x + -0.455) + 0.156))
GP_parsimony,261408,0.4185534110347048,0.4435516559138906,0.4240426803094209,5,3,4096,64,0.10438948600005915,((x + -0.287) * x)
GP_parsimony,261409,0.5230937035629675,0.5375063891418183,0.4524683973457345,5,3,4096,64,0.09829635100004452,"(pdiv(x, 0.973) * x)"
GP_parsimony,261410,0.41911278341581915,0.4487712980138062,0.4285725306229519,11,4,4096,64,0.1627103429999579,(((x + -0.427) + 0.268) * ((x + -0.427) + 0.268))
GP_parsimony,261411,0.33144641583987955,0.3563853670492738,0.35552558131649925,25,6,4096,64,0.28702195100004246,((((x - x) - sin(-0.91)) - ((x - (x + -0.25)) - (x * x))) - (x - ((-1.701 - -1.193) + sin(x))))
GP_parsimony,261412,0.41985163125858604,0.4470806113803505,0.4331327924934601,10,6,4096,64,0.19083630000000085,(((x - -0.277) + sin(sin(sin(-0.755)))) * x)
GP_parsimony,261413,0.0029203076058516384,0.0022311230622714443,0.002308523627595414,10,5,4096,64,0.16724498199994287,((x * x) + sin(((x + x) + x)))
GP_parsimony,261414,0.05858171532308051,0.059233912024155726,0.05267212069373366,19,6,4096,64,0.31651673299995764,"((x * x) - (sin(x) * ((sin(x) + sin(x)) * (sin(x) + pdiv(-1.014, x)))))"
GP_parsimony,261415,0.4198962182790925,0.44716713465975777,0.43332425196152563,7,4,4096,64,0.15579237700001158,(x * (1 - (1.315 - x)))
GP_parsimony,261416,0.4187002683843313,0.4425602675165678,0.4202293318768354,7,4,4096,64,0.1444997629999989,(x * ((0.532 + x) - 0.805))
GP_parsimony,261417,0.5305972611971347,0.5320069612689169,0.4561250701208838,3,2,4096,64,0.11355586199999834,(x * x)
GP_parsimony,261418,0.4201695093110241,0.4476836241184677,0.43444957626709535,9,4,4096,64,0.1568789430000379,(((x + x) - (0.318 + x)) * x)
GP_parsimony,261419,0.28691534752345144,0.3082539893475297,0.2943885440410042,10,6,4096,64,0.15257310399999824,(x * ((-0.28 + sin((x - -1.446))) + x))
GP_parsimony,261420,0.41964797605242077,0.44667563553703604,0.4322242573720825,5,3,4096,64,0.11499692300003517,((x - 0.312) * x)
GP_parsimony,261421,0.29272043686126736,0.31648666379120743,0.3287481409639856,17,7,4096,64,0.21841221199997563,"(x * (pdiv((sin(x) * sin(x)), pdiv(-1.9, (sin(x) * sin(x)))) + x))"
GP_parsimony,261422,0.26959722299080724,0.2790902314445794,0.3165671549472366,16,7,4096,64,0.218843809999953,((((x + sin((x + 1.644))) + (-0.688 + 0.511)) + (-0.688 + 0.511)) * x)
GP_parsimony,261423,0.4264149336745716,0.45724690039430965,0.4523676088816752,7,4,4096,64,0.12731789899999058,(x * (-0.484 + (x + 0.125)))
GP_parsimony,261424,0.4189520609996251,0.445087278294954,0.42840765367098427,5,3,4096,64,0.1169369200000574,(x * (x - 0.301))
GP_parsimony,261425,0.41957587638800825,0.4420903734384022,0.41643722200863514,10,5,4096,64,0.10491299000000254,"(x * ((0.585 + x) - sin(pdiv(x, x))))"
GP_parsimony,261426,0.3716244873109378,0.3967829552690052,0.39211407507426094,12,7,4096,64,0.16863103799994406,"(x * (x - pdiv((0.161 * x), sin(sin(sin(x))))))"
GP_parsimony,261427,0.41855865129519976,0.4429879324672617,0.4220670529770059,9,4,4096,64,0.14946840099992187,"(x * (pdiv(x, x) - (1.28 - x)))"
GP_parsimony,261428,0.4185409922490669,0.44337670855200323,0.4234641432927876,7,4,4096,64,0.12513622899996335,(x + (x * (x + -1.285)))
GP_parsimony,261429,0.4290160399953186,0.44667477246371706,0.40915358965659865,7,4,4096,64,0.12690114300005462,(((0.669 + x) + -0.866) * x)
