method,run,generation,best
GP_plain,0,0,6.890625
GP_plain,0,1,8.53125
GP_plain,0,2,8.203125
GP_plain,0,3,7.09375
GP_plain,0,4,6.296875
GP_plain,0,5,6.21875
GP_plain,0,6,6.859375
GP_plain,0,7,5.453125
GP_plain,0,8,4.40625
GP_plain,0,9,4.1875
GP_plain,0,10,4.1875
GP_plain,0,11,4.1875
GP_plain,0,12,4.1875
GP_plain,0,13,4.1875
GP_plain,0,14,4.1875
GP_plain,0,15,4.1875
GP_plain,0,16,4.1875
GP_plain,0,17,4.3125
GP_plain,0,18,4.3125
GP_plain,0,19,4.625
GP_plain,0,20,4.875
GP_plain,0,21,5.75
GP_plain,0,22,6.75
GP_plain,0,23,7.546875
GP_plain,0,24,8.0625
GP_plain,0,25,8.953125
GP_plain,0,26,10.59375
GP_plain,0,27,11.359375
GP_plain,0,28,11.8125
GP_plain,0,29,12.703125
GP_plain,0,30,12.71875
GP_plain,0,31,13.765625
GP_plain,0,32,14.1875
GP_plain,0,33,14.375
GP_plain,0,34,14.578125
GP_plain,0,35,14.96875
GP_plain,0,36,14.875
GP_plain,0,37,14.75
GP_plain,0,38,14.5625
GP_plain,0,39,14.15625
GP_plain,0,40,13.375
GP_plain,0,41,13.0
GP_plain,0,42,13.0
GP_plain,0,43,13.0
GP_plain,0,44,13.0
GP_plain,0,45,13.0
GP_plain,0,46,13.0
GP_plain,0,47,13.0
GP_plain,0,48,13.0
GP_plain,0,49,13.0
GP_plain,0,50,13.0
GP_plain,0,51,13.0
GP_plain,0,52,13.0
GP_plain,0,53,13.0
GP_plain,0,54,13.0
GP_plain,0,55,13.0
GP_plain,0,56,13.0
GP_plain,0,57,13.0
GP_plain,0,58,13.0
GP_plain,0,59,13.0
GP_plain,0,60,13.0
GP_plain,0,61,13.015625
GP_plain,0,62,13.015625
GP_plain,0,63,13.046875
GP_plain,1,0,6.078125
GP_plain,1,1,6.46875
GP_plain,1,2,6.578125
GP_plain,1,3,7.375
GP_plain,1,4,8.734375
GP_plain,1,5,8.78125
GP_plain,1,6,7.125
GP_plain,1,7,5.5625
GP_plain,1,8,5.25
GP_plain,1,9,6.09375
GP_plain,1,10,7.3125
GP_plain,1,11,9.4375
GP_plain,1,12,9.40625
GP_plain,1,13,9.8125
GP_plain,1,14,10.25
GP_plain,1,15,10.171875
GP_plain,1,16,9.1875
GP_plain,1,17,9.109375
GP_plain,1,18,9.1875
GP_plain,1,19,9.0
GP_plain,1,20,8.0
GP_plain,1,21,8.0
GP_plain,1,22,8.0
GP_plain,1,23,8.0
GP_plain,1,24,8.0
GP_plain,1,25,8.0
GP_plain,1,26,8.0
GP_plain,1,27,8.0
GP_plain,1,28,8.0
GP_plain,1,29,8.0
GP_plain,1,30,8.0
GP_plain,1,31,8.0
GP_plain,1,32,8.0
GP_plain,1,33,8.0
GP_plain,1,34,8.0
GP_plain,1,35,8.0
GP_plain,1,36,8.0
GP_plain,1,37,8.0
GP_plain,1,38,8.0
GP_plain,1,39,8.0
GP_plain,1,40,8.0
GP_plain,1,41,8.0
GP_plain,1,42,8.0
GP_plain,1,43,8.0
GP_plain,1,44,8.0
GP_plain,1,45,8.0
GP_plain,1,46,8.0
GP_plain,1,47,8.0
GP_plain,1,48,8.0
GP_plain,1,49,8.0
GP_plain,1,50,8.0
GP_plain,1,51,8.0
GP_plain,1,52,8.0
GP_plain,1,53,8.0
GP_plain,1,54,8.0
GP_plain,1,55,8.0
GP_plain,1,56,8.0
GP_plain,1,57,8.0
GP_plain,1,58,8.0
GP_plain,1,59,8.09375
GP_plain,1,60,8.28125
GP_plain,1,61,8.4375
GP_plain,1,62,8.6875
GP_plain,1,63,9.015625
GP_plain,2,0,6.3125
GP_plain,2,1,6.484375
GP_plain,2,2,7.046875
GP_plain,2,3,8.078125
GP_plain,2,4,12.34375
GP_plain,2,5,12.5625
GP_plain,2,6,13.953125
GP_plain,2,7,17.515625
GP_plain,2,8,17.0625
GP_plain,2,9,16.421875
GP_plain,2,10,15.40625
GP_plain,2,11,14.71875
GP_plain,2,12,16.390625
GP_plain,2,13,19.8125
GP_plain,2,14,20.171875
GP_plain,2,15,18.3125
GP_plain,2,16,20.15625
GP_plain,2,17,22.984375
GP_plain,2,18,23.578125
GP_plain,2,19,27.25
GP_plain,2,20,27.359375
GP_plain,2,21,27.875
GP_plain,2,22,28.703125
GP_plain,2,23,29.859375
GP_plain,2,24,29.953125
GP_plain,2,25,29.9375
GP_plain,2,26,29.921875
GP_plain,2,27,29.40625
GP_plain,2,28,28.890625
GP_plain,2,29,29.15625
GP_plain,2,30,30.125
GP_plain,2,31,30.90625
GP_plain,2,32,31.984375
GP_plain,2,33,32.0
GP_plain,2,34,32.0
GP_plain,2,35,32.0
GP_plain,2,36,32.0
GP_plain,2,37,32.0
GP_plain,2,38,32.0
GP_plain,2,39,32.0
GP_plain,2,40,32.0
GP_plain,2,41,32.0
GP_plain,2,42,32.0
GP_plain,2,43,32.0
GP_plain,2,44,32.0
GP_plain,2,45,32.0
GP_plain,2,46,32.0
GP_plain,2,47,32.0
GP_plain,2,48,32.0
GP_plain,2,49,32.0
GP_plain,2,50,32.0
GP_plain,2,51,32.0
GP_plain,2,52,32.0
GP_plain,2,53,32.0
GP_plain,2,54,32.0
GP_plain,2,55,32.0
GP_plain,2,56,32.0
GP_plain,2,57,32.0
GP_plain,2,58,32.0
GP_plain,2,59,32.0
GP_plain,2,60,32.0
GP_plain,2,61,32.0
GP_plain,2,62,32.0
GP_plain,2,63,32.0
GP_plain,3,0,6.671875
GP_plain,3,1,8.5625
GP_plain,3,2,7.53125
GP_plain,3,3,6.59375
GP_plain,3,4,6.265625
GP_plain,3,5,5.375
GP_plain,3,6,5.1875
GP_plain,3,7,5.3125
GP_plain,3,8,5.4375
GP_plain,3,9,5.5
GP_plain,3,10,5.765625
GP_plain,3,11,5.984375
GP_plain,3,12,6.671875
GP_plain,3,13,7.4375
GP_plain,3,14,8.0
GP_plain,3,15,8.765625
GP_plain,3,16,10.296875
GP_plain,3,17,10.390625
GP_plain,3,18,10.859375
GP_plain,3,19,11.6875
GP_plain,3,20,11.796875
GP_plain,3,21,11.609375
GP_plain,3,22,10.390625
GP_plain,3,23,8.0
GP_plain,3,24,8.0
GP_plain,3,25,8.0
GP_plain,3,26,8.0
GP_plain,3,27,8.0
GP_plain,3,28,8.0
GP_plain,3,29,8.046875
GP_plain,3,30,8.046875
GP_plain,3,31,8.046875
GP_plain,3,32,8.09375
GP_plain,3,33,8.09375
GP_plain,3,34,8.328125
