method,metric,n,minimum,mean,median,std,maximum
GP_plain,train_mse,30,0.007532887790137893,0.28676137501779525,0.3359317987306497,0.15623410760644363,0.5206111044669735
GP_plain,validation_mse,30,0.0063252829027841805,0.30266452410365424,0.35735080285302245,0.16655138609091966,0.5488707998770864
GP_plain,test_mse,30,0.007897991413629204,0.2973951933534129,0.35342153691973094,0.1506091862984489,0.45484401319180673
GP_plain,nodes,30,5.0,15.866666666666667,15.0,6.290295389880671,32.0
GP_plain,depth,30,3.0,5.9,6.0,1.268993627874548,7.0
GP_plain,seconds,30,0.10288239400006205,0.19765551096667575,0.1934781964999388,0.06218958652584579,0.34829284299996743
GP_plain,evaluations,30,4096.0,4096.0,4096.0,0.0,4096.0
GP_parsimony,train_mse,30,0.00290577570680532,0.35458764545393145,0.41878099049097733,0.14682273400794707,0.5305972611971347
GP_parsimony,validation_mse,30,0.0022311230622714443,0.3752016520723108,0.4434641822329469,0.15467994460229606,0.5375063891418183
GP_parsimony,test_mse,30,0.002308523627595414,0.36112539156941004,0.4227655981348968,0.14595359344744216,0.5509928521021344
GP_parsimony,nodes,30,3.0,9.8,9.0,5.241742274183796,25.0
GP_parsimony,depth,30,2.0,4.633333333333334,4.0,1.473521078171633,7.0
GP_parsimony,seconds,30,0.09829635100004452,0.16636066766667076,0.15448075700004438,0.0571962787349093,0.31651673299995764
GP_parsimony,evaluations,30,4096.0,4096.0,4096.0,0.0,4096.0
